PaymentDate,VendorName,PaymentAmount,Fund,FundDescription,Center,CenterName,Account,AccountName,FiscalYear,AccountingPeriod
8/14/2017 0:00,A TO Z EQUIPMENT RENTAL & SALES              ,1021.38,200,TRANSPORTATION,20860,TRAFFIC SIGNALS                    ,53790,"MAT TO MAINT & REPAIR MACH, EQUIP  ",2018,2
8/14/2017 0:00,AIMS PVIC                                    ,380,100,GENERAL,25411,IRRIGATION REPAIR                  ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,AIMS PVIC                                    ,2125,200,TRANSPORTATION,20810,GRADING AND DRAINAGE               ,52390,MISC MAINTENANCE AND REPAIR        ,2018,2
8/14/2017 0:00,AIMS PVIC                                    ,15658.03,603,WATER RECLAMATION,29321,SEWER SYSTEM                       ,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/14/2017 0:00,ALL CITY TOWING                              ,583,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,AMAYA CONSTRUCTION & REMODELING LLC          ,6000,220,CDBG,32340,17/18-CITY EMERGENCY HOME REPAIR   ,52827,REHAB CONTRACTORS                  ,2018,2
8/14/2017 0:00,AMERICAN REFRIGERATION SUPPLIES INC          ,2395.95,100,GENERAL,20905,HVAC MAINTENANCE                   ,53790,"MAT TO MAINT & REPAIR MACH, EQUIP  ",2018,2
8/14/2017 0:00,ANTEC INC                                    ,66.18,100,GENERAL,22426,CRIME SCENE PROCESSING             ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,2
8/14/2017 0:00,ARIZONA DEPARTMENT OF PUBLIC SAFETY          ,22,100,GENERAL,23510,TAX AND LICENSE ADMINISTRATION     ,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/14/2017 0:00,ARIZONA STATE UNIVERSITY                     ,3556.93,230,GRANTS,36793,CULTIVATING KNOWING & GROWING *10/1,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/14/2017 0:00,AZ CUSTOM BOTTLED WATER LLC                  ,284.27,100,GENERAL,22607,RESOURCE MANAGEMENT                ,53090,OTHER OPERATING SUPPLIES           ,2018,2
8/14/2017 0:00,B & H PHOTO VIDEO                            ,170.1,100,GENERAL,22426,CRIME SCENE PROCESSING             ,53025,FURNITURE & MINOR EQUIPMENT        ,2018,2
